Record_ID,Timestamp,Scenario,Machine_ID,Machine_Type,Machine_Model_Class,Engine_Hours,Machine_Age,Engine_Temperature,Hydraulic_Temperature,Machine_Speed,Fuel_Consumption,Machine_Health_Score,Engine_Load_Percentage,Operator_ID,Experience_Level,Years_Experience,Operating_Shift,Historical_Efficiency,Historical_Idle_Time,Training_Score,Previous_Safety_Events,Operator_Skill_Score,Load_Weight,Load_Percentage,Load_Cycles,Idle_Time,Operating_Mode,Travel_Direction,Harsh_Acceleration,Harsh_Braking,Rapid_Control_Input,Control_Smoothness,Proximity_Violations,Seatbelt_Status,Proximity_Distance,Obstacle_Type,Blind_Zone_Entry,Ground_Slope,Safety_Zone_Status,Emergency_Stop,Safety_Event,Weather,Visibility,Ambient_Temperature,Dust_Level,Ground_Condition,Terrain_Type,Working_Zone,Lighting_Condition,Task_ID,Task_Type,Task_Complexity,Target_Quantity,Completed_Quantity,Historical_Task_Duration,Current_Task_Progress,Estimated_Task_Duration,Actual_Task_Duration,Total_Fuel_Used,Safety_Risk_Score,Safety_Risk_Level,Operator_Anomaly,Anomaly_Score,Anomaly_Reason,Task_Completion_Time,Incident_Type,Fuel_Efficiency
R010076,2026-03-07 07:16,EXCESSIVE_IDLE,WHL-309,Wheel Loader,Medium Wheel Loader,12948.7,10.32,81.5,64.0,4.01,14.06,71.2,74.8,OP1071,Intermediate,2.1,Morning,71.5,11.3,58.6,0,31.3,3.35,71.8,186,39.2,Power,Forward,4,4,29,59.3,3,Fastened,13.01,Worker,0,7.6,Clear,0,0,Light_Rain,75.0,26.9,12.9,Wet,Stockpile,Zone D,Daylight,TSK-010076,Material_Transfer,3,622.1,622.1,180.5,0.923,161.1,239.3,58.0,29.4,LOW,1,0.9426,Excessive_Idle,20.4,No_Incident,10.73
R004737,2026-03-07 07:53,UNSAFE_OPERATION,WHL-302,Wheel Loader,Medium Wheel Loader,10107.4,6.92,83.4,63.9,8.74,14.2,70.4,74.0,OP1118,Novice,1.4,Morning,62.5,15.3,64.0,0,38.0,3.36,73.5,126,22.4,Standard,Reverse,6,2,36,49.1,6,Unfastened,4.17,Structure,0,5.5,Warning,0,1,Hot,74.5,32.9,27.8,Dry,Flat,Zone B,Dawn_Dusk,TSK-004737,Loading,4,420.2,420.2,108.0,0.189,89.9,147.0,34.2,64.1,HIGH,1,0.9878,Erratic_Control,114.3,Harsh_Maneuver,12.27
R001468,2026-03-07 14:00,HIGH_FUEL_CONSUMPTION,WHL-314,Wheel Loader,Medium Wheel Loader,11874.4,8.12,80.0,59.6,6.95,17.33,71.7,58.9,OP1033,Intermediate,4.1,Afternoon,76.3,13.6,73.5,3,47.1,2.87,61.9,280,22.1,Standard,Forward,2,2,32,58.5,4,Fastened,4.67,Worker,0,6.5,Warning,0,0,Cloudy,88.0,32.9,42.4,Dry,Stockpile,Zone D,Daylight,TSK-001468,Loading,2,802.3,802.3,216.3,0.905,171.6,217.5,59.8,40.8,MEDIUM,1,0.9445,Abnormal_Fuel,18.7,No_Incident,13.42
R032891,2026-03-07 15:49,HIGH_LOAD_OPERATION,EXC-207,Excavator,Large Excavator (30t class),7355.6,5.02,82.4,63.7,0.69,23.84,84.0,80.9,OP1107,Novice,1.6,Afternoon,61.8,12.4,66.2,1,34.3,3.59,109.1,323,17.3,Standard,Swinging,0,3,19,61.7,2,Fastened,13.36,Material_Pile,0,1.4,Clear,0,0,Clear,91.4,29.1,22.3,Dry,Flat,Zone A,Daylight,TSK-032891,Excavation,1,1157.6,1157.6,226.1,0.854,231.5,171.7,67.5,12.5,LOW,0,0.1133,Normal,25.7,No_Incident,17.15
R022449,2026-03-07 15:55,EFFICIENT_OPERATION,WHL-306,Wheel Loader,Large Wheel Loader,8572.5,5.52,83.2,59.5,6.14,18.28,68.4,61.7,OP1013,Experienced,5.5,Afternoon,72.1,17.2,66.9,2,46.1,5.19,77.7,167,14.7,Standard,Reverse,1,3,7,82.3,2,Fastened,7.23,Worker,0,4.1,Clear,0,0,Clear,85.8,33.4,15.0,Dry,Flat,Zone D,Dawn_Dusk,TSK-022449,Stockpiling,2,862.2,862.2,204.8,0.861,144.5,139.6,43.3,14.3,LOW,0,0.0389,Normal,19.1,No_Incident,19.93
R036733,2026-03-07 19:27,EXCESSIVE_IDLE,EXC-214,Excavator,Large Excavator (30t class),10495.9,8.12,79.8,56.7,0.45,11.62,69.7,57.6,OP1041,Intermediate,2.6,Afternoon,74.5,19.2,61.6,2,41.5,2.54,78.6,220,87.3,Standard,Stationary,1,4,2,78.4,6,Fastened,5.58,Vehicle,0,2.0,Warning,0,0,Fog,34.5,29.7,52.9,Dry,Haul_Road,Zone B,Dawn_Dusk,TSK-036733,Loading,2,558.5,558.5,139.7,0.777,106.1,225.5,45.7,24.2,LOW,1,0.9997,Excessive_Idle,55.8,No_Incident,12.23
R025610,2026-03-08 00:21,EXCESSIVE_IDLE,WHL-301,Wheel Loader,Large Wheel Loader,11658.1,7.82,79.4,54.9,7.5,10.42,56.6,55.7,OP1049,Intermediate,4.0,Night,78.6,30.2,67.3,1,64.7,6.07,86.5,177,191.3,Eco,Forward,6,1,31,61.5,11,Fastened,6.34,Material_Pile,0,3.5,Clear,0,0,Clear,77.5,22.1,30.7,Dry,Flat,Zone B,Night_Floodlit,TSK-025610,Loading,3,1072.2,1072.2,215.0,0.567,170.7,346.8,60.4,43.6,MEDIUM,1,0.9998,Excessive_Idle,151.5,No_Incident,17.74
R023625,2026-03-08 01:17,LOW_VISIBILITY,WHL-310,Wheel Loader,Medium Wheel Loader,4488.6,3.22,81.7,59.6,5.63,10.2,76.1,61.8,OP1091,Expert,18.7,Night,83.4,23.6,66.4,1,71.3,3.98,87.2,131,33.7,Eco,Reverse,6,4,9,86.0,3,Fastened,9.83,Worker,0,4.1,Clear,0,0,Dust_Wind,17.1,26.0,65.3,Dry,Flat,Zone B,Night_Poor,TSK-023625,Loading,3,519.1,519.1,131.7,0.656,111.0,151.5,25.1,61.4,HIGH,0,0.0656,Normal,45.6,No_Incident,20.68
R009295,2026-03-08 10:49,POOR_WEATHER,EXC-208,Excavator,Large Excavator (30t class),5103.8,3.82,78.8,57.9,2.45,20.48,80.4,66.4,OP1076,Experienced,6.5,Morning,75.4,15.7,86.0,2,52.3,2.23,70.2,179,16.1,Standard,Forward,5,2,12,80.9,2,Fastened,8.62,Worker,0,6.7,Clear,0,0,Heavy_Rain,48.6,22.1,0.0,Wet,Gentle_Slope,Zone C,Daylight,TSK-009295,Backfilling,4,398.3,398.3,90.4,0.832,67.7,127.2,44.2,26.7,LOW,0,0.1523,Normal,19.9,No_Incident,9.02
R017594,2026-03-09 01:39,PROXIMITY_HAZARD,EXC-220,Excavator,Large Excavator (30t class),2903.9,1.82,77.8,51.9,2.72,15.07,92.7,57.4,OP1060,Expert,14.1,Night,82.7,23.0,82.5,2,67.7,2.38,72.0,346,30.0,Standard,Forward,0,0,1,83.9,4,Fastened,1.24,Worker,1,1.7,Violated,0,1,Hot,69.9,27.9,24.8,Dry,Flat,Zone B,Night_Floodlit,TSK-017594,Loading,2,821.7,821.7,169.5,0.745,156.1,154.1,40.0,76.9,CRITICAL,0,0.2075,Normal,37.2,Proximity_Near_Miss,20.54
R010235,2026-03-09 15:32,EFFICIENT_OPERATION,WHL-307,Wheel Loader,Large Wheel Loader,4040.6,3.02,81.7,57.6,6.46,14.4,90.3,55.6,OP1052,Experienced,6.0,Afternoon,75.1,14.1,74.9,2,59.2,5.1,71.1,82,4.4,Eco,Reverse,0,0,4,88.7,0,Fastened,20.0,No_Object,0,7.1,Clear,0,0,Dust_Wind,45.1,33.9,87.4,Dry,Stockpile,Zone D,Daylight,TSK-010235,Loading,2,414.7,414.7,71.6,0.152,66.0,71.2,17.3,25.0,LOW,0,0.0208,Normal,62.6,No_Incident,23.94
R039892,2026-03-10 18:26,HIGH_LOAD_OPERATION,WHL-307,Wheel Loader,Large Wheel Loader,4051.8,3.02,83.8,63.5,6.89,23.14,82.1,83.4,OP1052,Experienced,6.0,Afternoon,75.1,14.1,75.1,2,59.2,7.03,99.3,80,12.0,Power,Reverse,2,2,4,80.4,1,Fastened,5.87,Structure,0,12.0,Warning,0,0,Cloudy,78.0,29.5,32.0,Dry,Stockpile,Zone D,Daylight,TSK-039892,Stockpiling,3,560.7,560.7,99.3,0.498,94.0,84.3,32.8,63.4,HIGH,0,0.0875,Normal,38.1,No_Incident,17.1
R034340,2026-03-10 22:42,UNSAFE_OPERATION,EXC-210,Excavator,Medium Excavator (20t class),2897.5,2.12,81.9,62.2,3.43,15.75,82.6,83.8,OP1027,Expert,24.2,Night,85.9,18.4,97.2,5,86.2,1.73,87.6,278,14.4,Standard,Forward,9,7,16,78.4,3,Unfastened,3.18,Vehicle,0,10.9,Warning,1,1,Clear,62.9,24.2,24.1,Dry,Gentle_Slope,Zone E,Night_Floodlit,TSK-034340,Excavation,3,481.5,481.5,127.3,0.733,128.4,111.7,31.0,87.0,CRITICAL,1,0.9966,Repeated_Harsh_Events,28.9,Harsh_Maneuver,15.54
R037529,2026-03-11 14:34,HIGH_LOAD_OPERATION,WHL-312,Wheel Loader,Medium Wheel Loader,5730.3,3.73,80.6,56.6,7.05,10.38,83.4,62.0,OP1004,Intermediate,2.4,Afternoon,64.1,49.2,57.6,1,36.4,4.58,99.8,82,42.1,Standard,Forward,3,0,16,84.8,0,Fastened,8.0,Worker,0,0.9,Clear,0,0,Clear,89.3,30.1,29.3,Dry,Flat,Zone D,Daylight,TSK-037529,Stockpiling,3,374.9,374.9,137.9,0.436,84.4,116.1,20.3,25.3,LOW,0,0.0235,Normal,67.4,No_Incident,18.49
R024390,2026-03-12 10:15,PROXIMITY_HAZARD,EXC-219,Excavator,Large Excavator (30t class),2507.9,2.13,79.1,59.9,1.84,20.36,90.3,73.5,OP1046,Novice,1.9,Morning,71.3,15.7,63.2,2,46.4,2.51,82.9,209,23.6,Standard,Reverse,3,3,21,62.6,2,Unfastened,1.28,Vehicle,0,8.0,Violated,1,1,Fog,32.1,23.5,31.9,Dry,Gentle_Slope,Zone A,Daylight,TSK-024390,Excavation,3,523.4,523.4,130.6,0.447,104.7,158.6,51.6,89.7,CRITICAL,0,0.0607,Normal,80.3,Vehicle_Interaction,10.14
R008147,2026-03-12 11:05,NORMAL_OPERATION,WHL-309,Wheel Loader,Medium Wheel Loader,12996.7,10.33,81.8,59.3,8.85,12.36,66.9,58.2,OP1075,Experienced,6.0,Morning,76.2,20.8,72.2,3,61.1,3.24,74.3,287,23.5,Standard,Forward,1,1,2,74.0,3,Fastened,9.09,Worker,0,0.0,Clear,0,0,Clear,88.5,29.7,23.0,Dry,Flat,Zone B,Daylight,TSK-008147,Loading,2,927.9,927.9,224.1,0.469,198.5,183.4,38.3,32.3,MEDIUM,0,0.0971,Normal,104.0,No_Incident,24.21
R021846,2026-03-12 15:51,MACHINE_OVERHEATING,EXC-211,Excavator,Medium Excavator (20t class),3370.4,2.83,101.5,92.4,0.6,14.56,56.7,62.3,OP1001,Experienced,6.2,Afternoon,75.2,11.9,62.4,2,44.5,1.4,72.0,678,34.6,Standard,Swinging,18,11,26,59.4,9,Fastened,13.11,Material_Pile,0,0.8,Clear,0,0,Clear,82.0,33.3,46.5,Dry,Haul_Road,Zone B,Dawn_Dusk,TSK-021846,Loading,4,951.4,951.4,254.8,0.694,241.0,341.3,79.6,17.0,LOW,0,0.3117,Normal,104.7,No_Incident,11.95
R030471,2026-03-13 06:21,UNSAFE_OPERATION,WHL-304,Wheel Loader,Medium Wheel Loader,5023.2,4.03,81.1,56.1,6.37,13.09,83.7,58.7,OP1022,Expert,17.7,Morning,81.5,16.0,96.2,2,78.0,3.41,71.7,159,16.9,Standard,Forward,2,1,27,85.1,2,Fastened,7.21,Worker,0,5.4,Clear,0,0,Light_Rain,70.7,25.0,1.0,Dry,Flat,Zone D,Daylight,TSK-030471,Stockpiling,3,539.5,539.5,118.0,0.865,121.5,118.5,25.0,34.2,MEDIUM,0,0.2078,Normal,15.5,No_Incident,21.54
R017293,2026-03-13 07:04,PROXIMITY_HAZARD,WHL-307,Wheel Loader,Large Wheel Loader,4082.2,3.03,80.7,59.2,5.12,15.85,82.0,58.3,OP1108,Novice,0.4,Morning,57.4,20.3,60.7,2,14.2,5.15,71.7,192,48.2,Eco,Reverse,4,1,42,71.1,7,Fastened,1.76,Worker,0,5.2,Violated,0,0,Hot,90.8,32.7,45.0,Loose,Stockpile,Zone D,Daylight,TSK-017293,Stockpiling,3,988.0,988.0,220.0,0.204,165.6,295.3,76.2,64.6,HIGH,0,0.1127,Normal,243.0,No_Incident,12.96
R032371,2026-03-13 15:54,NORMAL_OPERATION,WHL-307,Wheel Loader,Large Wheel Loader,4085.0,3.03,83.5,64.1,6.98,19.53,80.0,64.8,OP1100,Experienced,5.4,Afternoon,64.4,23.0,78.0,1,59.4,6.29,87.6,124,27.3,Standard,Forward,8,7,9,71.1,2,Fastened,15.18,No_Object,0,0.5,Clear,0,0,Clear,96.4,32.2,12.4,Dry,Flat,Zone D,Daylight,TSK-032371,Stockpiling,2,775.3,775.3,144.7,0.303,130.0,112.3,36.2,30.8,MEDIUM,0,0.1332,Normal,76.9,No_Incident,21.42
R035951,2026-03-14 08:28,EXCESSIVE_IDLE,EXC-210,Excavator,Medium Excavator (20t class),2935.3,2.14,79.5,59.2,3.1,10.9,82.2,62.3,OP1115,Intermediate,3.0,Morning,71.6,16.6,52.6,1,45.2,1.19,60.8,309,60.9,Standard,Reverse,3,3,17,72.7,3,Unfastened,20.0,No_Object,0,0.0,Clear,0,0,Clear,94.2,27.8,32.6,Dry,Flat,Zone A,Daylight,TSK-035951,Excavation,3,366.0,366.0,119.6,0.879,97.6,192.3,34.6,19.9,LOW,1,0.9993,Excessive_Idle,22.5,No_Incident,10.57
R036189,2026-03-15 00:39,EFFICIENT_OPERATION,WHL-305,Wheel Loader,Medium Wheel Loader,1143.4,0.94,78.9,53.6,5.45,11.36,89.6,59.2,OP1118,Novice,1.4,Night,62.5,15.3,64.3,0,38.0,3.07,70.4,317,23.0,Eco,Forward,3,1,40,76.8,1,Fastened,16.51,Worker,0,9.8,Clear,0,0,Clear,69.0,25.4,34.4,Loose,Stockpile,Zone D,Night_Floodlit,TSK-036189,Stockpiling,2,972.7,972.7,253.9,0.735,219.0,285.3,55.1,26.4,LOW,0,0.017,Normal,78.8,No_Incident,17.67
R037259,2026-03-15 06:42,LOW_VISIBILITY,EXC-221,Excavator,Large Excavator (30t class),12861.7,8.24,85.6,64.7,2.96,25.66,69.9,78.6,OP1032,Intermediate,4.4,Morning,67.2,29.8,67.5,1,45.1,2.77,87.5,293,44.0,Power,Forward,2,0,14,70.0,4,Fastened,7.64,Structure,0,2.6,Clear,0,0,Cloudy,21.8,31.2,15.1,Dry,Flat,Zone A,Night_Poor,TSK-037259,Excavation,3,809.3,809.3,217.9,0.298,161.9,199.5,85.4,33.0,MEDIUM,0,0.0781,Normal,136.1,No_Incident,9.48
R002991,2026-03-15 14:59,NORMAL_OPERATION,EXC-210,Excavator,Medium Excavator (20t class),2927.2,2.14,76.9,57.4,0.27,14.02,87.3,62.0,OP1061,Experienced,8.4,Afternoon,84.6,17.0,86.2,3,68.2,1.28,65.3,483,29.4,Standard,Swinging,5,3,13,78.4,2,Unfastened,7.36,Worker,0,4.1,Clear,0,0,Clear,94.4,33.2,26.2,Dry,Flat,Zone A,Daylight,TSK-002991,Excavation,3,619.6,619.6,173.7,0.251,165.2,207.5,46.9,7.7,LOW,0,0.0911,Normal,154.2,No_Incident,13.22
R006018,2026-03-16 10:47,NORMAL_OPERATION,WHL-307,Wheel Loader,Large Wheel Loader,4110.8,3.04,79.2,55.1,0.29,15.34,85.5,51.8,OP1071,Intermediate,2.1,Morning,71.5,11.3,58.8,0,31.3,5.12,72.0,63,8.6,Eco,Stationary,0,0,3,59.8,0,Fastened,17.25,No_Object,0,1.6,Clear,0,0,Hot,91.5,30.3,47.7,Rocky,Haul_Road,Zone F,Daylight,TSK-006018,Stockpiling,3,318.6,318.6,65.4,0.117,53.4,91.1,23.8,6.3,LOW,0,0.115,Normal,82.0,No_Incident,13.41
R013250,2026-03-16 10:55,STEEP_TERRAIN,EXC-208,Excavator,Large Excavator (30t class),5178.9,3.84,81.9,65.9,0.19,24.14,80.4,83.3,OP1076,Experienced,6.5,Morning,75.4,15.7,86.6,2,52.3,2.25,71.5,301,28.8,Standard,Swinging,0,0,5,90.9,1,Fastened,16.01,Vehicle,0,24.3,Clear,0,0,Clear,100.0,29.3,28.8,Dry,Gentle_Slope,Zone E,Daylight,TSK-013250,Excavation,3,676.1,676.1,122.4,0.176,135.2,177.6,71.5,33.9,MEDIUM,0,0.0818,Normal,147.6,No_Incident,9.45
R011609,2026-03-16 15:04,NORMAL_OPERATION,WHL-315,Wheel Loader,Medium Wheel Loader,9183.4,6.94,84.4,60.6,6.63,10.7,75.6,58.6,OP1056,Intermediate,4.6,Afternoon,80.1,13.1,63.8,1,52.2,3.06,69.0,206,17.5,Eco,Forward,1,1,22,78.4,2,Fastened,9.32,Worker,0,2.4,Clear,0,0,Clear,83.1,37.2,26.0,Dry,Flat,Zone D,Daylight,TSK-011609,Stockpiling,2,628.0,628.0,148.4,0.928,141.4,175.3,29.6,27.4,LOW,0,0.0374,Normal,13.0,No_Incident,21.21
R023420,2026-03-16 18:24,NORMAL_OPERATION,WHL-315,Wheel Loader,Medium Wheel Loader,9185.0,6.94,79.8,61.8,7.01,12.03,76.3,61.8,OP1043,Expert,10.4,Afternoon,83.5,13.6,82.4,4,58.2,2.84,65.8,208,14.2,Standard,Forward,1,3,5,81.6,3,Fastened,5.65,Vehicle,0,0.0,Warning,0,0,Clear,100.0,29.1,38.1,Dry,Haul_Road,Zone B,Daylight,TSK-023420,Loading,2,588.8,588.8,134.1,0.226,126.0,138.1,29.0,17.9,LOW,0,0.0934,Normal,100.0,No_Incident,20.33
R011873,2026-03-17 16:40,NORMAL_OPERATION,EXC-210,Excavator,Medium Excavator (20t class),2966.9,2.14,82.8,60.1,0.29,10.66,80.4,60.3,OP1107,Novice,1.6,Afternoon,61.8,12.4,66.9,1,34.3,1.64,76.7,497,27.7,Eco,Swinging,3,4,23,74.8,2,Fastened,9.4,Worker,0,9.0,Clear,0,0,Clear,92.9,32.2,33.2,Loose,Stockpile,Zone D,Daylight,TSK-011873,Loading,1,811.8,811.8,245.4,0.531,205.7,225.4,39.7,18.6,LOW,0,0.1055,Normal,102.8,No_Incident,20.43
R015836,2026-03-17 17:52,PROXIMITY_HAZARD,WHL-302,Wheel Loader,Medium Wheel Loader,10184.5,6.94,81.3,56.3,5.67,14.33,73.9,65.9,OP1033,Intermediate,4.1,Afternoon,76.3,13.6,73.7,3,47.1,3.67,83.9,232,18.4,Standard,Forward,2,8,25,69.9,3,Fastened,3.05,Worker,0,9.3,Warning,1,1,Clear,86.4,27.9,37.1,Loose,Stockpile,Zone D,Daylight,TSK-015836,Stockpiling,2,849.4,849.4,209.0,0.84,191.3,179.0,43.6,71.1,HIGH,0,0.1172,Normal,28.4,Harsh_Maneuver,19.5
R000107,2026-03-17 18:37,NORMAL_OPERATION,EXC-223,Excavator,Large Excavator (30t class),8739.5,7.04,82.7,62.4,0.0,15.93,80.9,65.9,OP1017,Novice,1.3,Afternoon,66.2,16.2,63.6,0,37.4,2.39,79.0,192,19.7,Standard,Stationary,2,0,14,64.0,4,Fastened,8.81,Vehicle,0,4.1,Clear,0,0,Clear,97.0,34.3,40.5,Dry,Gentle_Slope,Zone E,Daylight,TSK-000107,Backfilling,3,457.3,457.3,105.5,0.886,77.7,111.5,29.1,8.9,LOW,0,0.2578,Normal,11.4,No_Incident,15.72
R039146,2026-03-18 14:37,NORMAL_OPERATION,EXC-222,Excavator,Medium Excavator (20t class),8693.5,5.95,79.9,58.7,0.49,11.31,80.0,53.3,OP1059,Expert,10.4,Afternoon,84.7,19.6,83.4,5,71.9,1.65,79.5,186,13.5,Eco,Swinging,2,0,3,78.0,1,Fastened,16.56,No_Object,0,0.8,Clear,0,0,Hot,70.1,37.1,29.0,Dry,Flat,Zone A,Dawn_Dusk,TSK-039146,Backfilling,4,306.5,306.5,88.2,0.769,69.5,71.5,13.6,14.6,LOW,0,0.0724,Normal,16.7,No_Incident,22.55
